firstName,lastName,email,employeePassword,salary,storeStreet,storeState,storeCity
Ashley,Bishop,crystalthompson@yahoo.com,h6Pk95x9@h,19185,"584 Ryan Mountain Apt. 396","South Dakota","New Anthony"
Desiree,Barrett,david44@hotmail.com,z**7HCywps,14062,"43498 Chavez Alley Apt. 524",Nevada,Harrismouth
John,Cowan,dawnturner@hotmail.com,X)Y4Sp8HqV,10970,"84195 Robinson Highway Suite 441","New York","East Toni"
Morgan,Lopez,dcooper@yahoo.com,5$7tAAuHXb,9780,"1127 Drake Manors",Wisconsin,Princehaven
Nathan,Williams,deanna34@hotmail.com,)lUTGO@e10,12329,"882 Michael Ford Apt. 928",Connecticut,"New Jamesmouth"
Brian,Boone,devon02@yahoo.com,&rX02pb!!4,16980,"336 Robert Trace",Arizona,"West Veronicashire"
Alan,Martinez,diazloretta@hotmail.com,C6#6C#m_s@,14810,"09188 Colleen Overpass",Connecticut,"Port Christopherland"
Terri,Kim,djohns@hotmail.com,M6l7PkY6(e,8911,"42828 Gonzalez Prairie",Alabama,"New Roy"
Brandon,Gillespie,donald23@gmail.com,#7Y9Qkfrh$,14286,"4148 Mark Mountains Apt. 333",Virginia,Nathanville
Sandra,Thomas,donnagreen@hotmail.com,(remFY$oC0,17496,"5641 Chapman Springs Apt. 995",Vermont,Fullerton
Dawn,Dorsey,dshea@gmail.com,(+5+LdCb3u,11562,"79638 Liu Throughway Suite 871",Florida,Copelandville
James,Lin,dylandavis@yahoo.com,#7*HpKdrpw,13093,"584 Ryan Mountain Apt. 396","South Dakota","New Anthony"
Eric,Nelson,edward11@gmail.com,(2oA%rPO&y,16952,"43498 Chavez Alley Apt. 524",Nevada,Harrismouth
Brandy,Walters,edward43@gmail.com,e(Py7K1J!3,9207,"43498 Chavez Alley Apt. 524",Nevada,Harrismouth
Charles,Phillips,elizabethleach@gmail.com,!*@xg6Nf3F,14071,"321 Caldwell View Apt. 900",Missouri,Jenniferport
Chad,Gallegos,eric70@hotmail.com,iY3UCPvo+3,15102,"110 Brown Terrace Suite 431","South Carolina","North Sheri"
Michael,Thompson,ericacarter@gmail.com,4XBqkGy3_E,9028,"687 Michelle Forges",Michigan,"Port Brian"
Jennifer,Graham,favila@yahoo.com,&5DLNZq7^9,6050,"4092 Donald Union Suite 517","South Carolina",Kington
Joshua,Williams,franklinshane@yahoo.com,_m5YRwYGqG,13136,"902 Jackson Mountains Suite 082",Colorado,"North Samanthaland"
Dennis,King,garypetersen@yahoo.com,(PY^Vh8i1s,9736,"056 Lawrence Isle Apt. 609",Virginia,"Lake Marcus"
Jennifer,Petersen,greerjessica@hotmail.com,74ZVn&lq)8,6201,"5641 Chapman Springs Apt. 995",Vermont,Fullerton
Rodney,Smith,guerrakathryn@yahoo.com,1%(50Qxhrf,6463,"336 Robert Trace",Arizona,"West Veronicashire"
Louis,Guzman,hallscott@yahoo.com,kboeYhmm$4,11075,"336 Robert Trace",Arizona,"West Veronicashire"
Joyce,Harper,hancockdonna@gmail.com,nE03FFych@,5621,"902 Jackson Mountains Suite 082",Colorado,"North Samanthaland"
Christopher,Potter,hansonjustin@gmail.com,Q0!!^0KjSY,5470,"1127 Drake Manors",Wisconsin,Princehaven
Jack,Santana,harrisdanielle@gmail.com,iE^4GYcVIN,12818,"687 Michelle Forges",Michigan,"Port Brian"
Teresa,Martinez,hartmanalison@yahoo.com,udvo0VYIW),16315,"42314 Alexa Court Suite 700",Nebraska,Christinafurt
Kelly,Kelly,haydenlauren@yahoo.com,9J!4qOrg+9,19868,"321 Caldwell View Apt. 900",Missouri,Jenniferport
Michael,Soto,hharrington@yahoo.com,nV7OR7pdb!,16216,"4148 Mark Mountains Apt. 333",Virginia,Nathanville
Debra,Mccarthy,hickmanjustin@gmail.com,)_8#Ufsl$C,16731,"14257 Kelley Spring Suite 397",Oregon,Joannemouth
Steven,Moody,hillrichard@yahoo.com,%$L2fYCymg,17577,"360 Hall Centers",Minnesota,"New Rachel"
Tony,Johnson,hoodaaron@gmail.com,(Y1ERrmrkX,8415,"42314 Alexa Court Suite 700",Nebraska,Christinafurt
John,Carroll,ingrambrittany@yahoo.com,o((0QCc7u6,8318,"584 Ryan Mountain Apt. 396","South Dakota","New Anthony"
Robert,Ellis,jamiemcguire@yahoo.com,j)6xSSxv9P,8923,"84195 Robinson Highway Suite 441","New York","East Toni"
Edward,Merritt,jasonburgess@gmail.com,^4FlEx#pqE,9239,"110 Brown Terrace Suite 431","South Carolina","North Sheri"
Lisa,Roberts,jasongood@hotmail.com,IDKc0+Xe)5,18775,"321 Caldwell View Apt. 900",Missouri,Jenniferport
Elaine,Anderson,jeffrey38@gmail.com,1zSsN+x!&B,14214,"60694 Angela Turnpike Suite 662",Maine,Brownmouth
Patricia,Moses,jeffreystephens@hotmail.com,WW1Z*OhR6!,18591,"14257 Kelley Spring Suite 397",Oregon,Joannemouth
William,Green,jensenlisa@hotmail.com,$6^YWAuPFj,14599,"330 Christina Fork",Hawaii,"West Larry"
Alexander,Richardson,jerry44@hotmail.com,y&XiM9Syg6,16304,"882 Michael Ford Apt. 928",Connecticut,"New Jamesmouth"
Tammy,Alvarado,jillhendrix@gmail.com,O9DvDeuO^0,19601,"495 Kimberly Place","Rhode Island","Lake Robertfort"
Patricia,Morris,jody59@hotmail.com,mH^4LzbApu,10237,"902 Jackson Mountains Suite 082",Colorado,"North Samanthaland"
Tina,Norman,johnbriggs@yahoo.com,0tM9KN3e+M,12221,"330 Christina Fork",Hawaii,"West Larry"
Crystal,Myers,johnsondanielle@yahoo.com,X&0OxhHD5n,9865,"687 Michelle Forges",Michigan,"Port Brian"
Mary,Vaughn,johnsonveronica@hotmail.com,fe94mTRAi(,18251,"1127 Drake Manors",Wisconsin,Princehaven
Michelle,Perez,jonesjason@hotmail.com,$v!7KTb_Z1,12006,"321 Caldwell View Apt. 900",Missouri,Jenniferport
Chase,Hill,jorge61@gmail.com,3^Fo1VxsH4,8299,"70220 Lauren Point",Maryland,"New Charles"
Jeremiah,Garcia,josephhurley@gmail.com,&leWan@l1!,13803,"875 Phillips Canyon",Florida,Garciaside
James,Ponce,josephlopez@hotmail.com,*lqOTw2k9+,9978,"2378 Franklin Walk",Maryland,"East Julieside"
Michelle,Nguyen,jscott@hotmail.com,8SwiGvhX(*,6515,"14257 Kelley Spring Suite 397",Oregon,Joannemouth
Danielle,Chandler,julie85@hotmail.com,3bZcy8pP!2,7414,"42828 Gonzalez Prairie",Alabama,"New Roy"
Lauren,Phillips,kathleencruz@gmail.com,M%J97Xdf(A,5144,"1127 Drake Manors",Wisconsin,Princehaven
John,Hernandez,kblake@yahoo.com,&c@^6BYiHp,12258,"882 Michael Ford Apt. 928",Connecticut,"New Jamesmouth"
Benjamin,Moore,kelleydanielle@yahoo.com,u_53AQt5+K,13545,"360 Hall Centers",Minnesota,"New Rachel"
April,Kaufman,kevincook@hotmail.com,(9WwnXyjwT,15376,"4381 King Locks",Nebraska,Stephensview
Audrey,White,khart@gmail.com,*Q2eAi17hB,8121,"4092 Donald Union Suite 517","South Carolina",Kington
Brittany,Reed,kimberly23@gmail.com,hXt25MWg*v,7858,"4381 King Locks",Nebraska,Stephensview
Cynthia,Miller,kmcintosh@hotmail.com,4%hBYd5v&4,8296,"42828 Gonzalez Prairie",Alabama,"New Roy"
Justin,Nelson,kristina44@hotmail.com,MMwC6uoa+6,11990,"879 Stephens Mountain",Oregon,Ashleymouth
Diane,Brown,lawrencetammy@yahoo.com,n8$&8GnZal,15861,"879 Stephens Mountain",Oregon,Ashleymouth
Katherine,Walker,marcmoore@yahoo.com,lh4tBIdG5#,16011,"330 Christina Fork",Hawaii,"West Larry"
Sue,Lee,marisa99@hotmail.com,*91O5zp$p*,18923,"84195 Robinson Highway Suite 441","New York","East Toni"
Joseph,Parker,markssteven@yahoo.com,_uUeP!X+r6,9381,"4381 King Locks",Nebraska,Stephensview
Erika,Boyd,martindanielle@hotmail.com,7_7NDAkY@8,8143,"70220 Lauren Point",Maryland,"New Charles"
Whitney,Cruz,matthewsimon@gmail.com,$C3hQYd3FQ,16678,"321 Caldwell View Apt. 900",Missouri,Jenniferport
Hannah,Murphy,maureen37@hotmail.com,8e9zwJUf^b,9651,"875 Phillips Canyon",Florida,Garciaside
James,Hunter,megan90@gmail.com,)8A$6ADAWw,19074,"43498 Chavez Alley Apt. 524",Nevada,Harrismouth
Ronald,Hanson,michaelgibson@hotmail.com,@1H*tFru4Z,15177,"882 Michael Ford Apt. 928",Connecticut,"New Jamesmouth"
Daniel,Baker,michelle77@hotmail.com,ww4hWLdXz!,11968,"5641 Chapman Springs Apt. 995",Vermont,Fullerton
Robert,Bryant,moraleslori@yahoo.com,1RKG@LBx^8,13734,"495 Kimberly Place","Rhode Island","Lake Robertfort"
David,Krueger,nancynorris@hotmail.com,7)22JWoh47,6601,"495 Kimberly Place","Rhode Island","Lake Robertfort"
Daniel,Ross,natalie62@hotmail.com,i_6qgRey!V,12940,"584 Ryan Mountain Apt. 396","South Dakota","New Anthony"
Cheryl,Bailey,nataliepayne@gmail.com,4WF!OBpG*h,15126,"416 Robyn Walks",Wisconsin,"Lake Kathrynfurt"
Catherine,Blake,nicholas81@hotmail.com,b40+D&8b(i,12122,"3925 Williams Causeway Apt. 462",Colorado,Theresatown
Brandon,Ellis,nicholenguyen@gmail.com,_&F5cVpoj!,16691,"687 Michelle Forges",Michigan,"Port Brian"
Wesley,Juarez,nicholsjames@yahoo.com,^U0*^iaqT@,10079,"60694 Angela Turnpike Suite 662",Maine,Brownmouth
William,Pugh,nicole07@gmail.com,5OEGZA@w$0,16419,"4381 King Locks",Nebraska,Stephensview
Wendy,Greer,nicolejohnson@gmail.com,rv%#udXv%6,17759,"2378 Franklin Walk",Maryland,"East Julieside"
Melissa,Everett,nrivera@hotmail.com,&3WZMHfj93,14226,"902 Jackson Mountains Suite 082",Colorado,"North Samanthaland"
Sandra,Harris,nwilliams@gmail.com,+4X%*Aha!s,16761,"3925 Williams Causeway Apt. 462",Colorado,Theresatown
Bryan,Heath,oliviagarrett@yahoo.com,Qs6!JIxE*p,8275,"09188 Colleen Overpass",Connecticut,"Port Christopherland"
Lisa,Martinez,pamelabrennan@gmail.com,x$S7LZryO+,14014,"110 Brown Terrace Suite 431","South Carolina","North Sheri"
Gregory,Rubio,paynealan@hotmail.com,@P&1zTUqC+,13262,"14257 Kelley Spring Suite 397",Oregon,Joannemouth
Lori,Chandler,perrysarah@yahoo.com,!D8TJ_!d*S,5163,"4092 Donald Union Suite 517","South Carolina",Kington
Jamie,Johnson,piercemary@hotmail.com,A8gljXec(7,18689,"360 Hall Centers",Minnesota,"New Rachel"
Jocelyn,Johnson,pmclaughlin@yahoo.com,)*D+5Fd%V+,6248,"882 Michael Ford Apt. 928",Connecticut,"New Jamesmouth"
Jonathan,Dixon,qgallegos@gmail.com,J+^j8c1uCN,18310,"056 Lawrence Isle Apt. 609",Virginia,"Lake Marcus"
Jacob,Diaz,qmartinez@yahoo.com,kA&0PluS)3,15893,"495 Kimberly Place","Rhode Island","Lake Robertfort"
Krystal,Hoffman,qmiller@gmail.com,)@b^yJ6k6V,10248,"79638 Liu Throughway Suite 871",Florida,Copelandville
Eric,Griffith,qperez@gmail.com,EhrXjcCh@7,16553,"84195 Robinson Highway Suite 441","New York","East Toni"
Scott,Foster,rcarlson@hotmail.com,_7xB!1yb4N,18799,"4381 King Locks",Nebraska,Stephensview
David,Walsh,regina81@gmail.com,(D!e7TKysY,6554,"09188 Colleen Overpass",Connecticut,"Port Christopherland"
Elizabeth,Richards,reginaldmcconnell@gmail.com,v543Z5yNL&,10533,"495 Kimberly Place","Rhode Island","Lake Robertfort"
Kelly,Kemp,reillyjessica@hotmail.com,^b4KgB+756,19856,"056 Lawrence Isle Apt. 609",Virginia,"Lake Marcus"
Scott,Cunningham,richteresa@hotmail.com,P1l+t9Dlmb,13819,"42314 Alexa Court Suite 700",Nebraska,Christinafurt
Dennis,Walsh,riosjames@hotmail.com,@Z_jnNHD9u,15767,"70220 Lauren Point",Maryland,"New Charles"
Frances,Parsons,robertsangelica@yahoo.com,^(hRI@h0^5,17014,"60694 Angela Turnpike Suite 662",Maine,Brownmouth
Sarah,Scott,robertsleslie@hotmail.com,Z6nqIQrx(M,11804,"43498 Chavez Alley Apt. 524",Nevada,Harrismouth
Morgan,Gilbert,robinsonsean@yahoo.com,@@3I4Dt^M4,19203,"584 Ryan Mountain Apt. 396","South Dakota","New Anthony"
Thomas,Liu,rodriguezemily@hotmail.com,43IDtAs$!y,17956,"4381 King Locks",Nebraska,Stephensview
Kim,Henderson,rsuarez@gmail.com,!fECcf+@q8,18656,"902 Jackson Mountains Suite 082",Colorado,"North Samanthaland"
Chad,Tran,ruizsara@yahoo.com,qd#4$Won%X,12306,"3925 Williams Causeway Apt. 462",Colorado,Theresatown
Bryce,Griffin,russellsean@hotmail.com,#$1PTU3eaA,14800,"416 Robyn Walks",Wisconsin,"Lake Kathrynfurt"
Joshua,Wilson,santiagodenise@hotmail.com,@8^PkpVr^l,7665,"110 Brown Terrace Suite 431","South Carolina","North Sheri"
Susan,Perkins,sara16@gmail.com,X3RRpud6*q,18180,"60694 Angela Turnpike Suite 662",Maine,Brownmouth
Tiffany,Quinn,sarah45@hotmail.com,lNA0WXMm*Y,13959,"4092 Donald Union Suite 517","South Carolina",Kington
Joseph,Lucas,schultzlouis@gmail.com,+5szeNsL5&,13798,"330 Christina Fork",Hawaii,"West Larry"
Parker,Lamb,sfletcher@yahoo.com,Ue^E7Vw2&p,8703,"1127 Drake Manors",Wisconsin,Princehaven
Melinda,Castro,shannon80@gmail.com,^8UnXFBVZO,10890,"360 Hall Centers",Minnesota,"New Rachel"
Heidi,Medina,sheri72@yahoo.com,346SnnW(%^,5312,"5641 Chapman Springs Apt. 995",Vermont,Fullerton
Sean,Padilla,sheriscott@gmail.com,$_@RIJWdD7,13466,"5641 Chapman Springs Apt. 995",Vermont,Fullerton
Grant,Hall,shirley29@hotmail.com,#xRDFZmH+3,17930,"42314 Alexa Court Suite 700",Nebraska,Christinafurt
Dawn,Wagner,simsdaniel@gmail.com,E%i3drbc)A,6318,"60694 Angela Turnpike Suite 662",Maine,Brownmouth
Rita,Morgan,singhmatthew@hotmail.com,xd7@Me_B^q,17601,"330 Christina Fork",Hawaii,"West Larry"
Sara,Brown,smartin@yahoo.com,_2OHCNf4@&,9162,"879 Stephens Mountain",Oregon,Ashleymouth
Vickie,Coleman,sramirez@hotmail.com,30N8titb_F,9065,"4092 Donald Union Suite 517","South Carolina",Kington
Thomas,Vazquez,stephenhudson@yahoo.com,$6rxED6zNE,11592,"2378 Franklin Walk",Maryland,"East Julieside"
Brian,Collins,steven22@yahoo.com,K24jK9oo)v,6254,"84195 Robinson Highway Suite 441","New York","East Toni"
John,Gardner,susan94@gmail.com,&1fv9Wl(rd,19707,"056 Lawrence Isle Apt. 609",Virginia,"Lake Marcus"
Vicki,Young,susanmartinez@hotmail.com,OyM&5QvEk+,18627,"2378 Franklin Walk",Maryland,"East Julieside"
Tanya,Williams,tammy54@gmail.com,+T3C6$+g(C,19092,"056 Lawrence Isle Apt. 609",Virginia,"Lake Marcus"
James,Davis,theodore39@yahoo.com,^9nD0Izf18,18335,"3925 Williams Causeway Apt. 462",Colorado,Theresatown
Sarah,Conner,theresahuynh@yahoo.com,xS+4sf)d@_,8705,"902 Jackson Mountains Suite 082",Colorado,"North Samanthaland"
Andrew,Wilkinson,thomasmartin@hotmail.com,#uuHuR4i9z,8587,"687 Michelle Forges",Michigan,"Port Brian"
Joseph,Lopez,tim51@yahoo.com,8kSBoCs&*O,18544,"416 Robyn Walks",Wisconsin,"Lake Kathrynfurt"
Alicia,Alvarez,timothy33@gmail.com,q!!a6C9x^_,19342,"330 Christina Fork",Hawaii,"West Larry"
Jack,Reed,toddbennett@gmail.com,(5JLyD8XS#,7487,"70220 Lauren Point",Maryland,"New Charles"
Kevin,Romero,twang@gmail.com,qq$bw1Js)C,13170,"84195 Robinson Highway Suite 441","New York","East Toni"
Andrea,Miller,uedwards@yahoo.com,%8KYZ+#n%g,18717,"875 Phillips Canyon",Florida,Garciaside
Kenneth,Rodriguez,vanessa73@gmail.com,@F5!Wphm7^,10540,"882 Michael Ford Apt. 928",Connecticut,"New Jamesmouth"
Madison,Hoover,vcook@hotmail.com,F+06zXZaO#,11514,"43498 Chavez Alley Apt. 524",Nevada,Harrismouth
Kelli,Vance,vegachristopher@hotmail.com,(QFsY1FCN4,13934,"42314 Alexa Court Suite 700",Nebraska,Christinafurt
Valerie,Taylor,vegaphillip@hotmail.com,+Zl2qFa4Pd,9935,"879 Stephens Mountain",Oregon,Ashleymouth
James,Zhang,victormolina@gmail.com,2xzuNCti!m,11554,"336 Robert Trace",Arizona,"West Veronicashire"
Sarah,Franco,vsanders@hotmail.com,kjAsL5Jb$&,5333,"09188 Colleen Overpass",Connecticut,"Port Christopherland"
Pamela,Bennett,wadams@yahoo.com,r6!EFwnW(C,10299,"14257 Kelley Spring Suite 397",Oregon,Joannemouth
Connor,Schwartz,whitechristine@hotmail.com,A8M1MzvI!e,7414,"4148 Mark Mountains Apt. 333",Virginia,Nathanville
Philip,Cooper,william00@gmail.com,4gp)Pjzm_H,5296,"2378 Franklin Walk",Maryland,"East Julieside"
Diana,Smith,william48@hotmail.com,*5VoZKrMhm,18101,"336 Robert Trace",Arizona,"West Veronicashire"
Donald,Randall,williamgarcia@gmail.com,X+ut8eTeGX,9386,"60694 Angela Turnpike Suite 662",Maine,Brownmouth
Allison,Jones,williamsalyssa@gmail.com,1pdVrHeR#h,14281,"3925 Williams Causeway Apt. 462",Colorado,Theresatown
James,Hunter,williamsjoseph@hotmail.com,)^8mSJIreB,7610,"416 Robyn Walks",Wisconsin,"Lake Kathrynfurt"
Kathy,Valdez,woodruth@yahoo.com,4!)6ACbrfy,15731,"875 Phillips Canyon",Florida,Garciaside
Kevin,Kline,wprice@gmail.com,&!*b2&NqWX,6870,"336 Robert Trace",Arizona,"West Veronicashire"
Mark,Bailey,xmartinez@yahoo.com,$a0QEvE9q^,12581,"42828 Gonzalez Prairie",Alabama,"New Roy"
David,Reid,xpalmer@yahoo.com,^c_ALzs)K2,13346,"5641 Chapman Springs Apt. 995",Vermont,Fullerton
Joel,Murray,xpayne@gmail.com,98VVz96q@b,7283,"110 Brown Terrace Suite 431","South Carolina","North Sheri"
Douglas,Gutierrez,yujoy@yahoo.com,zF6QrOCrQ),18406,"79638 Liu Throughway Suite 871",Florida,Copelandville
Shawn,Rose,zimmermanadam@gmail.com,@H9$eTf67&,9207,"42828 Gonzalez Prairie",Alabama,"New Roy"
Cynthia,Lee,zkennedy@gmail.com,k7Ms1xBM)k,17791,"09188 Colleen Overpass",Connecticut,"Port Christopherland"
