courierServer,dateShipped,saleID,customerEmail
APL,2022-07-05,19629872,sbrown@yahoo.com
UPS,2022-06-23,20179670,freemantammy@yahoo.com
"Kuehne + Nagel",2022-06-03,20226985,randy38@hotmail.com
"Canada Post",2022-12-09,20271725,blackmallory@hotmail.com
APL,2022-07-14,20286743,kevinford@yahoo.com
DHL,2022-11-06,20290603,hpowers@gmail.com
"Kuehne + Nagel",2022-03-12,20603687,blackmallory@hotmail.com
"Canada Post",2022-05-03,20831370,qeverett@yahoo.com
"Agility Logistics",2022-04-23,20928193,smoore@hotmail.com
"Canada Post",2022-11-02,21039324,norma12@hotmail.com
"Kuehne + Nagel",2022-03-05,21045059,gregory99@gmail.com
"DB Schenker",2022-02-06,21118319,sandraanthony@hotmail.com
UPS,2022-03-26,21214806,josephortega@hotmail.com
"Kuehne + Nagel",2022-08-03,21271830,wilkersonamy@hotmail.com
FedEx,2022-04-04,21503443,allison30@gmail.com
"Canada Post",2022-12-06,21947049,wayala@yahoo.com
DHL,2022-12-24,22326966,saracook@hotmail.com
"Canada Post",2022-08-20,22352248,datkinson@gmail.com
"Hyundai Glovis",2022-03-04,22358059,bullockrichard@gmail.com
FedEx,2022-07-20,22390226,tiffany30@hotmail.com
"Agility Logistics",2022-04-30,22433626,zwalls@yahoo.com
"DB Schenker",2022-09-25,22514981,carriehampton@yahoo.com
"Agility Logistics",2022-10-22,22557520,christianjacobs@yahoo.com
DHL,2022-06-12,22567925,iking@gmail.com
APL,2022-08-10,22756527,janetjackson@hotmail.com
DHL,2022-06-19,22824745,nancy66@yahoo.com
"Canada Post",2022-08-03,22878069,freemantammy@yahoo.com
UPS,2022-08-03,23129238,lmoyer@yahoo.com
DHL,2022-10-21,23288454,tylerward@hotmail.com
FedEx,2022-02-28,23314153,colleen86@yahoo.com
UPS,2022-06-22,23344730,awhite@yahoo.com
"Canada Post",2022-04-30,23662605,debrabrown@gmail.com
APL,2022-06-23,23663831,austinwilson@hotmail.com
DHL,2022-07-18,23711099,franksantana@hotmail.com
DHL,2022-05-24,23831742,angela14@hotmail.com
"DB Schenker",2022-06-26,23900226,sanchezkenneth@yahoo.com
"Kuehne + Nagel",2022-04-09,24062923,angelica23@hotmail.com
APL,2022-11-07,24084437,datkinson@gmail.com
UPS,2022-12-28,24249072,colleen86@yahoo.com
"Hyundai Glovis",2022-10-07,24376853,pedronguyen@hotmail.com
"Kuehne + Nagel",2022-08-18,24496896,mitchellwilliam@yahoo.com
"Agility Logistics",2022-09-08,24796613,robin82@gmail.com
"Kuehne + Nagel",2022-07-16,24888462,stevensawyer@hotmail.com
"Agility Logistics",2021-12-25,24929004,richdesiree@hotmail.com
DHL,2022-08-20,24968478,qwilliams@gmail.com
UPS,2022-05-21,25303629,ruizhoward@yahoo.com
"Agility Logistics",2022-06-05,25527551,ulee@gmail.com
APL,2022-04-30,25736762,ifowler@hotmail.com
FedEx,2021-12-25,25751765,bgeorge@yahoo.com
FedEx,2022-07-11,25763997,myerstyrone@yahoo.com
"Hyundai Glovis",2022-11-15,25791037,hmeyer@gmail.com
DHL,2022-01-29,26010007,bgeorge@yahoo.com
"DB Schenker",2022-07-25,26128252,jessica86@gmail.com
"Kuehne + Nagel",2022-05-01,26235332,rhondachandler@yahoo.com
UPS,2022-05-22,26308098,clarkdaniel@hotmail.com
"Canada Post",2022-06-20,26443942,holmesbrian@yahoo.com
APL,2022-08-20,26517988,qwilliams@gmail.com
"Canada Post",2022-04-07,26599304,scottlaura@hotmail.com
APL,2022-01-31,26742090,ifowler@hotmail.com
APL,2022-09-06,26748313,tiffany30@hotmail.com
"DB Schenker",2022-07-02,26851112,danieltucker@gmail.com
FedEx,2022-10-01,26856216,cboone@yahoo.com
DHL,2022-05-24,26895871,marshalljacob@hotmail.com
DHL,2022-08-18,26937762,carriehampton@yahoo.com
FedEx,2021-12-20,26999968,kevinford@yahoo.com
DHL,2022-11-04,27141229,smoore@hotmail.com
"Canada Post",2022-11-14,27151297,ypoole@yahoo.com
"Agility Logistics",2022-01-11,27216804,blackmallory@hotmail.com
FedEx,2022-02-09,27392959,bwallace@gmail.com
"DB Schenker",2022-10-10,27511947,taylorrodriguez@yahoo.com
FedEx,2022-04-28,27569641,staciesmith@gmail.com
"Kuehne + Nagel",2022-09-08,27646212,ulee@gmail.com
DHL,2022-11-26,27916254,allenlee@hotmail.com
"Agility Logistics",2022-06-24,27926161,derek56@gmail.com
APL,2022-05-28,28038894,tylerward@hotmail.com
APL,2022-01-07,28039952,qlopez@gmail.com
"Agility Logistics",2022-04-01,28140177,jose79@hotmail.com
"Canada Post",2022-10-31,28161950,michelle29@yahoo.com
"Canada Post",2022-01-14,28188612,qlopez@gmail.com
DHL,2021-12-17,28227489,staciesmith@gmail.com
"Hyundai Glovis",2022-06-19,28264163,ryan70@yahoo.com
"Canada Post",2022-10-27,28378211,youngshawn@gmail.com
DHL,2022-10-12,28447139,rodriguezdebra@gmail.com
"Agility Logistics",2022-08-24,28613404,franksantana@hotmail.com
"DB Schenker",2022-07-01,28629368,brightkathleen@hotmail.com
"Kuehne + Nagel",2022-09-05,28801474,roger36@hotmail.com
DHL,2022-07-09,28859918,hicksjill@gmail.com
DHL,2022-02-03,29038909,marshalljacob@hotmail.com
"Agility Logistics",2022-03-01,29109944,hicksjill@gmail.com
UPS,2022-01-16,29277827,gallegospaula@hotmail.com
"DB Schenker",2022-12-23,29289578,blackmallory@hotmail.com
FedEx,2022-02-23,29420766,murphyzachary@hotmail.com
APL,2022-04-06,29569335,pedronguyen@hotmail.com
"DB Schenker",2022-06-08,29629985,jose79@hotmail.com
APL,2022-01-25,29830602,wjohnson@yahoo.com
FedEx,2022-01-04,29932160,stevensawyer@hotmail.com
"Canada Post",2022-07-01,29998302,verickson@yahoo.com
FedEx,2022-11-29,30093607,norma12@hotmail.com
APL,2022-10-25,30167179,anthonyjackson@hotmail.com
"DB Schenker",2022-09-03,30221246,lawrenceharris@hotmail.com
"Kuehne + Nagel",2022-04-08,30560475,janetjackson@hotmail.com
FedEx,2022-05-13,30570887,hpowers@gmail.com
APL,2021-12-24,30868250,loretta79@yahoo.com
"DB Schenker",2021-12-30,31335751,deborahmacias@yahoo.com
"Agility Logistics",2022-08-02,31357401,allison30@gmail.com
UPS,2022-08-29,31370431,saracook@hotmail.com
UPS,2022-05-27,31471404,saracook@hotmail.com
FedEx,2022-07-26,31599184,allison30@gmail.com
UPS,2022-09-02,31612159,wsteele@gmail.com
"Canada Post",2022-07-14,31650953,coxregina@yahoo.com
UPS,2022-02-21,31706858,jacklawson@yahoo.com
DHL,2022-11-15,31772938,staciesmith@gmail.com
UPS,2022-07-18,31840811,john87@hotmail.com
"Canada Post",2022-11-09,31984423,darylmartinez@gmail.com
"DB Schenker",2022-03-14,31990585,yrobinson@yahoo.com
"Hyundai Glovis",2022-07-04,32273038,sarah40@hotmail.com
APL,2022-02-27,32346220,taylorrodriguez@yahoo.com
"Kuehne + Nagel",2022-04-25,32364224,rachelduke@yahoo.com
"Hyundai Glovis",2022-12-16,32665512,ypoole@yahoo.com
UPS,2022-08-30,32706819,hicksjill@gmail.com
APL,2022-04-09,32738049,jesse24@yahoo.com
"Agility Logistics",2022-04-24,32939309,cheryl77@hotmail.com
"DB Schenker",2022-09-18,33178356,allison30@gmail.com
"Hyundai Glovis",2022-09-11,33348049,jessica86@gmail.com
APL,2022-12-21,33551944,swagner@hotmail.com
APL,2022-07-12,33569789,stevenrobbins@gmail.com
DHL,2022-08-08,33757223,elucero@hotmail.com
"DB Schenker",2021-12-17,34023235,derek56@gmail.com
"Hyundai Glovis",2022-03-28,34082133,bullockrichard@gmail.com
"Kuehne + Nagel",2022-05-17,34149898,mortiz@gmail.com
UPS,2022-02-23,34605288,herrerajacqueline@gmail.com
"Kuehne + Nagel",2022-09-16,34610305,smoore@hotmail.com
"Canada Post",2022-05-04,34833995,john85@yahoo.com
UPS,2022-01-23,34909126,herrerajacqueline@gmail.com
"Canada Post",2022-03-16,35128328,kristin05@hotmail.com
UPS,2022-10-06,35317135,zacharyluna@yahoo.com
"Agility Logistics",2022-09-18,35539605,kristin05@hotmail.com
UPS,2022-07-20,35597735,jesse24@yahoo.com
FedEx,2022-09-12,35884699,lmoyer@yahoo.com
UPS,2022-02-22,36112562,ehunter@hotmail.com
FedEx,2022-10-08,36153886,rogersheidi@gmail.com
FedEx,2022-07-21,36372010,franksantana@hotmail.com
"Hyundai Glovis",2022-01-25,36378630,clayjack@gmail.com
UPS,2022-01-11,36404698,nancy66@yahoo.com
"Canada Post",2022-12-16,36487196,staciesmith@gmail.com
APL,2022-09-11,36526123,brightkathleen@hotmail.com
"Canada Post",2022-11-16,36563104,amysampson@yahoo.com
"Kuehne + Nagel",2022-11-12,36597536,edward22@gmail.com
FedEx,2022-05-04,36660070,markwest@yahoo.com
UPS,2022-03-27,36794294,janetjackson@hotmail.com
DHL,2022-09-30,36830657,swagner@hotmail.com
"DB Schenker",2022-03-24,36858262,jessica86@gmail.com
UPS,2022-06-16,36908844,allison30@gmail.com
"DB Schenker",2022-07-22,36960118,gregorymoran@hotmail.com
APL,2022-03-17,37159320,frederickpatricia@hotmail.com
"Agility Logistics",2022-04-15,37341633,allison30@gmail.com
"Kuehne + Nagel",2022-09-14,37431396,jose79@hotmail.com
"Agility Logistics",2022-08-09,37492946,rhondachandler@yahoo.com
"Agility Logistics",2022-09-10,37576561,norma12@hotmail.com
UPS,2022-12-12,37719326,robertmoore@gmail.com
"DB Schenker",2022-07-25,37888411,mitchellwilliam@yahoo.com
UPS,2022-10-10,37935078,derek56@gmail.com
"DB Schenker",2022-01-17,38001505,cheryl77@hotmail.com
"Hyundai Glovis",2022-09-07,38043758,michelle29@yahoo.com
APL,2022-04-23,38333309,rodriguezdebra@gmail.com
"Canada Post",2022-10-13,38399213,bgeorge@yahoo.com
UPS,2022-10-07,38541124,toddroberts@gmail.com
"Kuehne + Nagel",2022-01-14,38623745,ymullen@hotmail.com
APL,2022-10-23,38705601,smoore@hotmail.com
"Kuehne + Nagel",2022-03-05,38821691,staciesmith@gmail.com
UPS,2022-02-28,38881886,anthonyjackson@hotmail.com
UPS,2022-09-05,39099372,hmeyer@gmail.com
APL,2022-01-23,39103710,robertmoore@gmail.com
DHL,2022-01-06,39136527,antonio16@hotmail.com
UPS,2022-05-12,39303349,taylorrodriguez@yahoo.com
"Kuehne + Nagel",2022-12-22,39322487,freemantammy@yahoo.com
"DB Schenker",2021-12-16,39416629,staciesmith@gmail.com
DHL,2022-06-03,39478610,bcampbell@gmail.com
"Hyundai Glovis",2022-01-24,39609663,staciesmith@gmail.com
UPS,2022-11-20,39838933,robin82@gmail.com
FedEx,2022-07-15,39940827,toddroberts@gmail.com
"Canada Post",2022-11-11,39940988,stevensawyer@hotmail.com
DHL,2022-05-28,39955920,loretta79@yahoo.com
"Kuehne + Nagel",2022-07-09,40047270,linda81@yahoo.com
UPS,2022-07-15,40154268,norma12@hotmail.com
"Kuehne + Nagel",2022-06-29,40161426,wdowns@hotmail.com
FedEx,2022-02-04,40332208,kennedykenneth@gmail.com
"Agility Logistics",2022-05-25,40576367,frederickpatricia@hotmail.com
APL,2022-01-12,40581026,herrerajacqueline@gmail.com
DHL,2022-03-08,40648873,zwatkins@yahoo.com
"Hyundai Glovis",2022-11-25,40793108,yrobinson@yahoo.com
"Kuehne + Nagel",2022-11-16,40870267,rachelduke@yahoo.com
UPS,2022-12-13,41232750,elucero@hotmail.com
FedEx,2022-09-24,41326923,staciesmith@gmail.com
"Hyundai Glovis",2022-09-08,41349557,kramerthomas@yahoo.com
"Hyundai Glovis",2022-05-23,41507117,vvelazquez@hotmail.com
"Hyundai Glovis",2022-01-08,41626221,herrerajacqueline@gmail.com
UPS,2022-09-30,41657676,ifowler@hotmail.com
"Canada Post",2022-08-18,41847459,johnsonrobert@gmail.com
UPS,2022-07-01,41875469,qturner@gmail.com
"Agility Logistics",2022-09-20,41927779,hmeyer@gmail.com
FedEx,2022-10-23,42039914,john85@yahoo.com
"DB Schenker",2022-07-20,42083955,janetjackson@hotmail.com
"Hyundai Glovis",2022-04-16,42187615,antonio16@hotmail.com
DHL,2022-06-06,42207993,dennis77@yahoo.com
DHL,2022-07-07,42247975,blackmallory@hotmail.com
"Hyundai Glovis",2022-02-09,42434252,josephodom@hotmail.com
"Kuehne + Nagel",2022-01-04,42494898,jpruitt@gmail.com
"Canada Post",2022-11-29,42543176,iking@gmail.com
APL,2022-01-05,42546863,coxregina@yahoo.com
"Agility Logistics",2022-04-10,42714521,jpruitt@gmail.com
"Agility Logistics",2022-05-21,42772651,sarah40@hotmail.com
"Canada Post",2022-12-12,42793083,vvelazquez@hotmail.com
DHL,2022-02-05,42854425,hicksjill@gmail.com
"Canada Post",2022-10-11,42882695,timothy89@hotmail.com
UPS,2022-08-17,43187584,ginameyer@gmail.com
UPS,2022-08-16,43224036,frederickpatricia@hotmail.com
"DB Schenker",2022-07-13,43238750,ulee@gmail.com
"Hyundai Glovis",2022-09-01,43400027,debrabrown@gmail.com
APL,2022-07-31,43519484,jacklawson@yahoo.com
"DB Schenker",2022-06-30,43623013,nancy66@yahoo.com
DHL,2022-12-24,43831852,sarah40@hotmail.com
"Kuehne + Nagel",2022-02-26,43980871,elucero@hotmail.com
"Canada Post",2022-08-16,44002459,holmesbrian@yahoo.com
"Kuehne + Nagel",2022-10-02,44123147,anthonyjackson@hotmail.com
FedEx,2022-07-09,44160999,llopez@yahoo.com
APL,2022-06-05,44376284,ifowler@hotmail.com
UPS,2022-03-09,44378301,bflores@gmail.com
"DB Schenker",2022-06-09,44625603,randy38@hotmail.com
"DB Schenker",2022-06-23,44875398,rhondachandler@yahoo.com
DHL,2022-10-27,44880545,roger36@hotmail.com
"Agility Logistics",2022-11-02,44924034,ruizhoward@yahoo.com
"DB Schenker",2022-11-05,45018701,clarkdaniel@hotmail.com
FedEx,2022-02-02,45178740,saracook@hotmail.com
"DB Schenker",2022-02-01,45257957,kevinford@yahoo.com
UPS,2022-05-21,45397936,josephortega@hotmail.com
FedEx,2022-12-19,45759376,iking@gmail.com
"Canada Post",2022-09-24,45800887,whitneywalker@gmail.com
"Canada Post",2022-08-15,45886164,rogersheidi@gmail.com
"Agility Logistics",2021-12-18,45949487,jose79@hotmail.com
FedEx,2022-09-04,45984563,clayjack@gmail.com
UPS,2022-05-01,46044297,christianjacobs@yahoo.com
"Agility Logistics",2022-08-12,46072801,taylorjose@hotmail.com
"Kuehne + Nagel",2022-05-30,46303578,michelle29@yahoo.com
"Canada Post",2022-01-08,46338686,zprice@yahoo.com
DHL,2022-12-17,46373533,taylorrodriguez@yahoo.com
FedEx,2022-05-02,46630841,danieltucker@gmail.com
UPS,2022-09-18,46692252,holmesbrian@yahoo.com
"Canada Post",2022-07-16,46777881,robertmoore@gmail.com
"Hyundai Glovis",2022-12-15,47251632,smithrebecca@gmail.com
"Agility Logistics",2022-05-01,47589773,julie08@yahoo.com
"Kuehne + Nagel",2022-10-23,47625600,swagner@hotmail.com
FedEx,2022-10-15,47665651,hicksjill@gmail.com
"Kuehne + Nagel",2022-07-27,47683761,loretta79@yahoo.com
"Canada Post",2022-08-16,47724419,austinwilson@hotmail.com
"DB Schenker",2022-03-16,47902077,qlopez@gmail.com
"Kuehne + Nagel",2022-07-29,47944916,verickson@yahoo.com
"Canada Post",2022-11-25,47961111,saracook@hotmail.com
FedEx,2022-01-01,48035620,vvelazquez@hotmail.com
"Agility Logistics",2022-08-14,48035842,bcampbell@gmail.com
UPS,2022-02-09,48056281,murphyzachary@hotmail.com
FedEx,2022-09-15,48086721,ryan70@yahoo.com
"Canada Post",2022-09-19,48222006,toddroberts@gmail.com
"Canada Post",2022-04-23,48230780,wdowns@hotmail.com
"Canada Post",2022-05-29,48279147,iking@gmail.com
FedEx,2022-11-27,48379243,john90@yahoo.com
"Canada Post",2022-11-10,48502740,nancy66@yahoo.com
"Agility Logistics",2021-12-23,48586504,johnsonrobert@gmail.com
UPS,2022-11-10,48787680,bgeorge@yahoo.com
"Hyundai Glovis",2021-12-15,48799645,frederickpatricia@hotmail.com
"Kuehne + Nagel",2022-06-15,48858083,datkinson@gmail.com
"DB Schenker",2022-03-23,48909105,andrew22@yahoo.com
UPS,2022-09-05,49326376,mortiz@gmail.com
APL,2022-02-25,49472080,gregorymoran@hotmail.com
"Kuehne + Nagel",2022-07-05,49676242,cboone@yahoo.com
FedEx,2022-12-15,49693287,franksantana@hotmail.com
DHL,2022-03-07,50004652,bflores@gmail.com
